time,latitude,longitude,altitude
2022-01-20 13:00:00,0.2550,0.5050,11050
2022-01-20 13:05:00,0.2750,0.5050,11550
2022-01-20 13:10:00,0.3050,0.5050,12050
2022-01-20 13:15:00,0.3550,0.5050,12050
2022-01-20 13:20:00,0.4050,0.5050,12050
2022-01-20 13:25:00,0.4550,0.5050,12050
2022-01-20 13:30:00,0.5050,0.5050,12050
2022-01-20 13:35:00,0.5550,0.5050,12050
2022-01-20 13:40:00,0.6050,0.5050,12050
2022-01-20 13:45:00,0.6550,0.5050,11750
2022-01-20 13:50:00,0.7050,0.5050,11350
2022-01-20 13:55:00,0.750,0.5050,11050
